volumeNumber,aidType,geopoliticalHeading,regionHeading,subregionHeading,localHeading,precedingNote,featureNumber,name,position,charNo,characteristic,heightFeetMeters,range,structure,remarks,postNote,noticeNumber,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,KIRKWALL:,,,,"3248
A3693"," -Harbor entrance, N.","58°59'12""N 
2°57'30""W",1,"2 F.R. (vert.)
","20
6",1,"Metal post.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,KIRKWALL:,,,,"3252
A3694"," -W. pier, head.","58°59'12""N 
2°57'30""W",1,"2 F.G. (vert.)
","20
6",1,"Metal post.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3254
A3729",Bay of Backaland.,"59°09'23.02""N 
2°44'54.37""W",1,"Fl.R. 
period 3s 
fl. 0.5s, ec. 2.5s 
","16
5",4,"Metal post; 10. 
","Visible 192°-250°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3264
A3708"," -Whitehall Pier, N., head.","59°08'36""N 
2°35'48""W",1,"2 F.G. (vert.)
","27
8",4,"Metal mast; 16.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3268
A3706","Papa Stronsay, NE., head.","59°09'20.15""N 
2°34'54.08""W",1,"Fl.(4)W.
period 20s 
fl. 0.4s, ec. 1.6s 
fl. 0.4s, ec. 1.6s 
fl. 0.4s, ec. 1.6s 
fl. 0.4s, ec. 13.6s 
","27
8",9,"White metal framework tower; 16.
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3270
A3715","Loth, RoRo Terminal, W. head.","59°11'30""N 
2°41'48""W",1,"2 F.G. (vert.)
","26
8",4,"Metal mast; 20.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3272
A3716","Kettletoft, pier, head.","59°13'50.4""N 
2°35'49.41""W",1,"Fl.W.R.G.
period 3s 
fl. 0.5s, ec. 2.5s 
","23
7","W. 7 
R. 5 
G. 5","White tower; 19.
","W. 351°-011°, R.-180°, G.-351°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3276
A3718",Start Point.,"59°16'38.3""N 
2°22'33.8""W",1,"Fl.(2)W.
period 20s 
fl. 0.2s, ec. 3.8s 
fl. 0.2s, ec. 15.8s 
","79
24",18,"White tower, black stripes; 75.
",,,201604,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3280
A3722",North Ronaldsay.,"59°23'22.01""N 
2°22'53.6""W",1,"Fl.W.
period 10s 
fl. 0.3s, ec. 9.7s 
","141
43",24,"Red brick tower, two white bands; 138.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3280
A3722",RACON,"59°23'22.01""N 
2°22'53.6""W",2,"T(- )
",,14,,"(3 & 10cm).
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3284
A3724"," -Nouster, pier, head.","59°21'24""N 
2°26'18""W",1,"Q.R.
","16
5",,"Post.
",,,200207,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3288
A3728",Calf Sound.,"59°14'12.19""N 
2°45'48.8""W",1,"Fl.(3)W.R.G.
period 10s 
fl. 0.5s, ec. 1.5s 
fl. 0.5s, ec. 1.5s 
fl. 0.5s, ec. 5.5s 
","20
6","W. 8 
R. 6 
G. 6","White tower; 30.
","R. 205°24`-214°54`, W.-222°18`, G.-300°48`, W.-305°42`.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3290
A3734","Rapness, RoRo Terminal, E. end.","59°14'54""N 
2°51'24""W",1,"2 F.R. (vert.)
","26
8",4,"Metal mast; 20.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3292
A3736",Noup Head.,"59°19'53.9""N 
3°04'11.9""W",1,"Fl.W.
period 30s 
fl. 0.2s, ec. 29.8s 
","259
79",20,"White tower; 79.
","Visible 335°-282°.  Partially obscured 240°-275°.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3296
A3737.20","Pierowall, E. pier, head.","59°19'19.85""N 
2°58'30.76""W",1,"Fl.W.R.G.
period 3s 
fl. 0.5s, ec. 2.5s 
","23
7","W. 11 
R. 7 
G. 7","Metal mast; 19.
","G. 254°-276°, W.-291°, R.-308°, G.-215°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3300
A3737.40"," -W. pier, head.","59°19'24""N 
2°58'30""W",1,"2 F.R. (vert.)
","19
6",3,"Metal mast; 16.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3304
A3738","Moclett Bay, pier, head.","59°19'35.33""N 
2°53'31.7""W",1,"Fl.W.R.G.
period 5s 
fl. 1.0s, ec. 4.0s 
","23
7","W. 5 
R. 3 
G. 3","Gray building; 16.
","G. 306°-341°, W.-040°, R.-074°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,,,,,"3308
A3740","Egilsay Pier, S. head.","59°09'18""N 
2°56'36""W",1,"Fl.G.
period 3s 
fl. 0.3s, ec. 2.7s 
","13
4",4,"White structure, concrete base; 10.
",,,201516,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,FAIR ISLE:,,,,"3312
A3750", -Skadan.,"59°30'49.2""N 
1°39'09.7""W",1,"Fl.(4)W.
period 30s 
fl. 0.2s, ec. 3.6s 
fl. 0.2s, ec. 3.6s 
fl. 0.2s, ec. 3.6s 
fl. 0.2s, ec. 18.4s 
","105
32",22,"White tower; 85.
","Visible 260°-146°.  Obscured close inshore 260°-282°.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,FAIR ISLE:,,,,"3314
A3753", -N. Haven.,"59°32'13.32""N 
1°36'23.02""W",1,"Oc.W.R.G.
period 8s 
fl. 6.0s, ec. 2.0s 
","33
10",6,"Metal column, concrete base; 10.
","G. 203°36`-208°06`, W.-211°06`, R.-220°36`.
",,201622,
PUB 114,Lighted Aids,SCOTLAND-ORKNEY ISLANDS,FAIR ISLE:,,,,"3316
A3756", -Skroo.,"59°33'07.07""N 
1°36'35.08""W",1,"Fl.(2)W.
period 30s 
fl. 0.6s, ec. 2.0s 
fl. 0.6s, ec. 26.8s 
","262
80",22,"White tower; 46.
","Visible 086°42`-358°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-SHETLAND ISLANDS,,,,,"3320
A3766",Sumburgh Head.,"59°51'14.3""N 
1°16'28.7""W",1,"Fl.(3)W.
period 30s 
fl. 0.4s, ec. 2.1s 
fl. 0.4s, ec. 2.1s 
fl. 0.4s, ec. 24.6s 
","300
91",23,"White tower; 56.
","V.Q.R. (occasional) on masts about 0.75 mile N. and 4.5 miles NW.  AIS (MMSI No 992320181).
DGPS Station
",,201516,
PUB 114,Lighted Aids,SCOTLAND-SHETLAND ISLANDS,,,,,"3322
A3767","Pool of Virkie Marina, E. breakwater, head.","59°53'03.7""N 
1°17'01.2""W",1,"2 F.G. (vert.)
","20
6",5,"Metal pole; 7.
","2 meters apart.
",,201604,
PUB 114,Lighted Aids,SCOTLAND-SHETLAND ISLANDS,,,,,"3324
A3772","Mousa, Perie Bard Islet.","59°59'50.31""N 
1°09'27.6""W",1,"Fl.W.
period 3s 
fl. 0.3s, ec. 2.7s 
","65
20",10,"White metal framework tower; 20.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-NORTH COAST,,,,,"3568
A3868",Sule Skerry.,"59°05'04.29""N 
4°24'27.5""W",1,"Fl.(2)W.
period 15s 
fl. 0.2s, ec. 3.6s 
fl. 0.2s, ec. 11.0s 
","113
34",21,"White tower; 89.
","AIS (MMSI No 992351082).
",,201515,
PUB 114,Lighted Aids,SCOTLAND-NORTH COAST,,,,,"3568
A3868",RACON,"59°05'04.29""N 
4°24'27.5""W",2,"T(- )
",,20,,"(3 & 10cm).
",,201515,
PUB 114,Lighted Aids,SCOTLAND-NORTH COAST,,,,,"3576
A3880",Cape Wrath.,"58°37'30.79""N 
4°59'57.1""W",1,"Fl.(4)W.
period 30s 
fl. 0.2s, ec. 3.6s 
fl. 0.2s, ec. 3.6s 
fl. 0.2s, ec. 3.6s 
fl. 0.2s, ec. 18.4s 
","400
122",22,"White tower; 66.
","AIS (MMSI No 992351087).
",,201515,
PUB 114,Lighted Aids,SCOTLAND-NORTH COAST,,,,,"3580
A3874",Loch Eriboll White Head.,"58°30'57.71""N 
4°38'50.2""W",1,"Fl.W.R.
period 10s 
fl. 0.5s, ec. 9.5s 
","62
19","W.  13 
R. 10","White metal framework tower; 16.
","W. 030°-172°, R.-191°, W.-212°.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4336
A4346","Cumbrae, W. side of Little Cumbrae Island.","55°43'13.04""N 
4°58'02.5""W",1,"Fl.W. 
period 6s 
","92
28",14,"White tower; 36. 
","Visible 334°-193°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4338
A4346.50", -Sheanawally Point.,"55°44'07.2""N 
4°56'21.7""W",1,"Fl.W. 
period 10s 
","20
6",5,"Metal post. 
","Visible 061°-300°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,MILLPORT:,,,,"4340
A4348", -W. extremity of outer islet.,"55°44'53.6""N 
4°55'35.2""W",1,"Q.G.
","18
5",2,"Post.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,MILLPORT:,,,,"4344
A4350"," -Pier, head, Range, front.","55°45'02.43""N 
4°55'51.08""W",1,"F.R.
","24
7",5,"Column; 20.
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,MILLPORT:,,,,"4348
A4352"," --Rear, on shore, 137 meters 333^ from front.","55°45'06.44""N 
4°55'54.33""W",1,"F.R. 
","29
9",5,"Column; 23. 
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,MILLPORT:,,,,"4348.2
A4355", -Hunterston Ore/Coal Jetty. NE. corner,"55°45'17.8""N 
4°52'38.7""W",1,"2 F.G. (vert.)
","36
11",5,"Green metal column.
","3 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,MILLPORT:,,,,"4348.4
A4355.20", --SW. corner.,"55°45'06.19""N 
4°52'52.2""W",1,"2 F.G. (vert.)
","36
11",5,"Green metal column.
","3 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,MILLPORT:,,,,"4348.6
A4358"," -NATO Pier, head","55°46'03.73""N 
4°51'46.41""W",1,"2 F.G. (vert.)
",,,,,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,MILLPORT:,,,,"4348.8
A4358.20", --Elbow,"55°45'57.96""N 
4°51'45.84""W",1,"2 F.G. (vert.)
",,,,,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4349
A4359","Largs Marina, S. breakwater head.","55°46'21.81""N 
4°51'43.7""W",1,"Oc.G.
period 10s 
fl. 7.0s, ec. 3.0s 
","12
4",4,"STARBOARD (A) G, column, topmark; 7.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4350
A4359.20"," -W. Breakwater, head.","55°46'22.6""N 
4°51'39.9""W",1,"Oc.R.
period 10s 
fl. 7.0s, ec. 3.0s 
","12
4",4,"PORT (A) R, column, topmark; 7.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4352
A4360","Largs, N. pier, head.","55°47'44""N 
4°52'19.6""W",1,"2 F.G. (vert.)
","20
6",5,"Metal post.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4356
A4362",Toward Point.,"55°51'44.03""N 
4°58'46.63""W",1,"Fl.W. 
period 10s 
fl. 0.2s, ec. 9.8s 
","70
21",22,"White tower; 63. 
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4380
A4398",Gantock Beacon.,"55°56'26.89""N 
4°55'04.69""W",1,"Fl.R. 
period 6s 
fl. 0.8s, ec. 5.2s 
","39
12",6,"White round tower; 44. 
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,DUNOON:,,,,"4384
A4400.10"," -Pier, S. head.","55°56'43.8""N 
4°55'13.7""W",1,"2 F.R. (vert.)
","20
6",6,"Metal pole.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,DUNOON:,,,,"4388
A4400.20"," -Jetty, head.","55°56'50.03""N 
4°55'15.87""W",1,"2 F.R. (vert.)
","17
5",6,"Column; 6.
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4392
A4392",Wemyss Bay.,"55°52'34.1""N 
4°53'28.2""W",1,"2 F.G. (vert.)
","23
7",5,"Metal mast; 39.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4396
A4405",McInroy's Point.,"55°57'05.1""N 
4°51'15.2""W",1,"2 F.G. (vert.)
","16
5",6,"Gray metal column.
","2 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4400
A4406","Hunter's Quay, NW. corner pierhead.","55°58'15.3""N 
4°54'30.1""W",1,"2 F.R. (vert.)
","19
6",6,"Gray metal column.
","2 meters apart.
",,201604,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4403
A4408","Barons Point, No 3.","55°59'12""N 
4°51'00""W",1,"Fl.R.
period 5s 
","16
5",2,"Black metal post.
",,,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4404
A4404",Cloch Point.,"55°56'32.6""N 
4°52'43.9""W",1,"Fl.W.
period 3s 
fl. 0.6s, ec. 2.4s 
","79
24",8,"White round tower, black band, white dwellings.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4416
A4414", -Kempock Point.,"55°57'46.49""N 
4°49'03.25""W",1,"Fl.G.
period 6s 
","36
11",3,"Metal column; 12.
","Port closure signals on roof of Navy building 0.9 mile E.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4424
A4409", -Ravenrock Point.,"56°02'08.54""N 
4°54'22.67""W",1,"Fl.W.
period 4s 
fl. 0.7s, ec. 3.3s 
","39
12",10,"White metal framework tower, white column; 26.
",,,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4424
A4409", -204^.,"56°02'08.54""N 
4°54'22.67""W",2,"Dir.W.R.G.
","29
9",,,"F.R. 201°30`-203°, Al.W.R.-203°30` (W. phase increasing with bearing), F.W.-204°30`, Al.W.G.-205° (G. phase increasing with bearing), F.G.-206°30`.
",,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4428
A4411", -Port Dornaige.,"56°03'45.45""N 
4°53'38.6""W",1,"Fl.W.
period 6s 
fl. 0.7s, ec. 5.3s 
","27
8",11,"White column; 13.
","Visible 206°-026°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4429
A4410.30"," -Jetty, S. corner.","56°03'55.51""N 
4°52'35.1""W",1,"L.Fl.G.
period 12s 
fl. 2.0s, ec. 10.0s 
","19
6",5,"Metal pole.
","3 F.G. (vert.) port closure signals close N.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4430
A4410.32", --N. corner.,"56°04'01.4""N 
4°52'30""W",1,"F.G.
","19
6",5,"Metal pole.
","Occasional. 
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4432
A4412.80"," -Finnart No 2 Jetty, S. head.","56°06'40.25""N 
4°50'26.97""W",1,"2 F.G. (vert.)
","19
6",,,,,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4436
A4412.70"," --N. head Range, front.","56°06'43.5""N 
4°50'26.02""W",1,"2 F.G. (vert.)
","19
6",,,,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4436.1
A4412.71"," ---Rear, 82 meters 066^ from front.","56°06'44.61""N 
4°50'21.57""W",1,"Q.G. 
","26
8",,,"Visible 051°-081°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GOUROCK BAY:,,,,"4440
A4411.40", -Dog Rock (Carraig nan Ron).,"56°05'59.86""N 
4°51'41.28""W",1,"Fl.W. 
period 2s 
fl. 0.7s, ec. 1.3s 
","23
7",11,"White column; 17. 
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4441
A4411.60"," -The Perch Range, front.","56°06'54.71""N 
4°54'17.6""W",1,"Dir.W.R.G.
","9
3","W. 8 
R. 6 
G. 6","Metal column, orange rectangular daymark.
","F.G. 314?30`-316?30`, Al.W.G.-317?30`, F.W.-318?30`, Al.W.R.-319?30`, F.R.-324?30`.
",,201932,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4441
A4411.60",,"56°06'54.71""N 
4°54'17.6""W",2,"Fl.R.
period 3s 
","9
3",3,,"Visible 187°-322°.  Occasional.
",,201932,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4441.1
A4411.61"," --Rear, 700 meters 318^ from front.","56°07'09.7""N 
4°54'41.7""W",1,"F.W.
","23
7",5,"Metal column, orange rectangular daymark; 10.
","Visible 312°-322°30`.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4442
A4411.80", -Rubha Ardnahein.,"56°06'09.31""N 
4°53'35.4""W",1,"Fl.R.
period 5s 
","9
3",3,"Metal column, orange rectangular daymark; 10.
","Visible 132°-312°.
Occasional. 
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4444
A4412"," -Cnap Point Range, front.","56°07'23.99""N 
4°49'57.44""W",1,"Q.W.
","26
8",10,"White column; 17.
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4444.1
A4412.10"," --Rear, 87 meters 031^ from front.","56°07'26.32""N 
4°49'54.85""W",1,"F.W.
","43
13",,"White metal framework tower, red rectangular daymark.
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4448
A4413.60", -Strone.,"56°07'43.9""N 
4°49'07.1""W",1,"Fl.G.
period 3s 
fl. 0.3s, ec. 2.7s 
","9
3",3,"Green metal post.
","Radar Reflector. 
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4452
A4413.70"," -Jetty, head.","56°07'48.43""N 
4°49'06.88""W",1,"2 F.G. (vert.)
",,,"Column; 6.
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,LOCH GOIL:,,,,"4456
A4413.72", --Elbow.,"56°07'52.61""N 
4°49'05.44""W",1,"2 F.G. (vert.)
",,,"Column; 6. 
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4464
A4420","Rosneath Patch, S. head.","55°58'31.11""N 
4°47'26.6""W",1,"Fl.(2)W.
period 10s 
fl. 0.8s, ec. 1.4s 
fl. 0.8s, ec. 7.0s 
","18
5",10,"ISOLATED DANGER BRB, pile, topmark; 23.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4466
A4421"," -Beacon 8N, 080^.","55°59'05.3""N 
4°44'11.8""W",1,"Dir.W.R.G.
","13
4","W. 16 
R. 13 
G. 13","SPECIAL Y, pile, ""X"" topmark.
","F.G. 075°-077°30`, Al.W.G.-079°30`, F.W.-080°30`, Al.W.R.-082°30`, F.R.-085°.
",,201517,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4466
A4421", -138^.,"55°59'05.3""N 
4°44'11.8""W",2,"Dir.W.R.G.
",,,,"F.G.132°-134°, Al.W.G.-137°, F.W.-139°, Al.W.R.-142°.
",,201517,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4466
A4421", -Passing Lt.,"55°59'05.3""N 
4°44'11.8""W",3,"Fl.Y.
period 3s 
","20
6",3,,,,201517,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4472
A4421.20", -Beacon No 1.,"55°59'07.2""N 
4°43'52.69""W",1,"V.Q.(4)Y.
period 5s 
","30
9",,"SPECIAL Y, beacon, ""X"" topmark.
","In line 080° with Beacon 8N.
",,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4475
A4422","Rosneath Patch Beacon 7N, Range, front.","56°00'03.2""N 
4°45'21.5""W",1,"Dir.W.R.G.
","16
5","W. 16 
R. 13 
G. 13","Green pile structure, green triangular daymark point up.
","Al.W.G. 353°-355°, F.W.-357°, Al.W.R.-000°, F.R.-002°.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4475
A4422",115^.,"56°00'03.2""N 
4°45'21.5""W",2,"Dir.W.R.G.
",,,,"Al.W.G. 111°-114°, F.W.-116°, Al.W.R.-119°, F.R.-121°.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4475
A4422",Passing Lt.,"56°00'03.2""N 
4°45'21.5""W",3,"Oc.G.
period 6s 
","20
6",3,,,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4476
A4422.10","Ardencaple Castle, rear, about 940 meters 356^ from front.","56°00'32.9""N 
4°45'25.4""W",1,"2 F.G. (vert.)
","86
26",12,"Stone tower on NW. corner of castle; 46.
","Visible 335°-020°.  3 meters apart.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4490
A4423.50","Rosneath Bay, 149^.","56°00'04.38""N 
4°46'42.79""W",1,"Dir.W.R.G.
","30
9","W. 16 
R. 13 
G. 13","Orange metal column; 23.
","F.G. 144°-145°, Al.W.G.-148°, F.W.-150°, Al.W.R.-153°, F.R.-154°.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4490
A4423.50",Passing Lt.,"56°00'04.38""N 
4°46'42.79""W",2,"Oc.R.
period 8s 
fl. 6.0s, ec. 2.0s 
",,3,,,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4492
A4423",Rhu Narrows.,"56°00'40.27""N 
4°47'42.6""W",1,"Dir.W.R.G.
","16
5","W. 16 
R. 13 
G. 13","PORT (A) R, beacon, topmark.
","Al.W.G. 291°-294°, F.W.-296°, Al.W.R.-299°, F.R.-301°.
",,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4504
A4425.50"," -POL Jetty, N. arm.","56°00'23.4""N 
4°47'30.2""W",1,"2 F.R. (vert.)
",,5,"White concrete column; 10.
","Visible 150°-330°.
",,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4508
A4422.50"," -Rhu Point, 318^.","56°00'56.8""N 
4°47'11.7""W",1,"Dir.W.R.G.
",,"W. 16 
R. 13 
G. 13","Metal beacon, orange trapezoidal daymark.
","Al.W.G. 315°-317°, F.W.-319°, Al.W.R.-321°, F.R.-325°.
",,201934,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4518
A4425", -Castle Point.,"56°00'11.41""N 
4°46'30.04""W",1,"Fl.(2)R. 
period 10s 
fl. 0.8s, ec. 1.4s 
fl. 0.8s, ec. 7.0s 
","26
8",6,"Red mast; 16. 
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4519
A4426", -Rhu Spit.,"56°00'50.3""N 
4°47'20.7""W",1,"Fl.W.
period 3s 
fl. 0.4s, ec. 2.6s 
","19
6",6,"White round tower, green band; 26.
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4524
A4426.50"," -Mambeg, 331^.","56°03'44.45""N 
4°50'28""W",1,"Dir.W.R.G.
period 5s 
fl. 1.0s, ec. 4.0s 
","23
7","W. 5 
R. 3 
G. 3","White column; 13.
","Fl.G. 329°-330°30`, Fl.W.-331°30`, Fl.R.-332°30`.  Shown 24 hours.
",,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4528
A4427.40"," -Faslane Base wharf, S. elbow.","56°03'10.11""N 
4°49'11.5""W",1,"Fl.G. 
period 5s 
fl. 0.5s, ec. 4.5s 
","36
11",5,"Metal mast. 
",,,201515,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4530
A4427.45", --Head.,"56°03'08.75""N 
4°49'14.83""W",1,"2 F.G. (vert.)
",,,"Building.
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4532
A4427.50"," --Carnban Point, S dolphin.","56°03'06.18""N 
4°49'11.81""W",1,"Fl.R. 
period 5s 
fl. 0.5s, ec. 4.5s 
","10
3",2,"Dolphin. 
","Port closure signals on N. dolphin.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4536
A4427.60", ---Middles.,"56°03'18.99""N 
4°49'14.22""W",1,"2 F.G. (vert.)
","46
14",5,"Metal mast. 
",,,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4542
A4427.90", ---Berth No 7.,"56°03'35.11""N 
4°49'11.87""W",1,"2 F.G. (vert.)
","23
7",,"Gray mast; 16.
","2 meters apart.
",,201622,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4544
A4428.60"," -Garelochead, S. fuel jetty, head.","56°04'13.4""N 
4°49'41.04""W",1,"2 F.G (vert.)
","33
10",5,"White floodlit tower; 40. 
","2 meters apart.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,,,,,"4549
A4428.80", --N. head.,"56°04'22.19""N 
4°49'43.58""W",1,"2 F.G. (vert.)
","33
10",5,"White floodlit tower; 39. 
","2 meters apart.
",,201513,
PUB 114,Lighted Aids,SCOTLAND-FIRTH OF CLYDE,GREENOCK:,,,,"4552
A4438"," -Anchorage Range, front.","55°57'37.49""N 
4°46'34.7""W",1,"F.G.
","23
7",12,"Yellow metal column.
",,,201604,
